key,value,"__mv_key","__mv_value"
"__source","C:\Program Files\Splunk\var\run\splunk\dispatch\1749646922.1066\Crimes_-_2001_to_Present1.csv",,
"__autoSourcetype",csv,,
"__autoCharset",AUTO,,
"__isEofReal",1,,
"BREAK_ONLY_BEFORE","",,
CHARSET,AUTO,,
"HEADER_MODE","",,
"INDEXED_EXTRACTIONS",csv,,
"KV_MODE",none,,
"LINE_BREAKER","([\r\n]+)",,
"MUST_BREAK_AFTER","",,
"MUST_NOT_BREAK_AFTER","",,
"MUST_NOT_BREAK_BEFORE","",,
"NO_BINARY_CHECK",1,,
"SHOULD_LINEMERGE",0,,
TRANSFORMS,"",,
category,Structured,,
description,"Comma-separated value format. Set header and other settings in ""Delimited Settings""",,
disabled,0,,
priority,"",,
"pulldown_type",1,,
sourcetype,csv,,
